"DBN","School Name","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","FL Percent","FRL Percent","Pre-K Demographics","K Demographics","Grade 1 Demographics","Grade 2 Demographics","Grade 3 Demographics","Grade 4 Demographics","Grade 5 Demographics","Grade 6 Demographics","Grade 7 Demographics","Grade 8 Demographics","Grade 9 Demographics","Grade 10 Demographics","Grade 11 Demographics","Grade 12 Demographics","Number of English Language Learners","Percent of English Language Learners","Number of Special Education Students","Percent of Special Education Students","Number of Collaborative Team Teaching Students","Number of Self-Contained Classroom Students","Number of Asian Students","Percent of Asian Students","Number of Black Students","Percent of Black Students","Number of Hispanic Students","Percent of Hispanic Students","Number of White Students","Percent of White Students","Number of Male Students","Percent of Male Students","Number of Female Students","Percent of Female Students","Number of Students in Cohort","Number of Graduation Students in Cohort","Percent of Graduation Students in Cohort","Number of Regents in Cohort","Total Regents - % of cohort","Total Regents - % of grads","Advanced Regents - n","Advanced Regents - % of cohort","Advanced Regents - % of grads","Regents without Advanced - n","Regents without Advanced - % of cohort","Regents without Advanced - % of grads","Local - n","Local - % of cohort","Local - % of grads","Still Enrolled - n","Still Enrolled - % of cohort","Dropped Out - n","Dropped Out - % of cohort","Number of Students Tested for ELA","ELA Mean Scale Score","Number of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 1 in ELA","Number of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 2 in ELA","Number of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 3 in ELA","Number of Students Scoring Level 4 in ELA","Percent of Students Scoring Level 4 in ELA","Number of Students Tested for Math","Math Mean Scale Score","Number of Students Scoring Level 1 in Math","Percent of Students Scoring Level 1 in Math","Number of Students Scoring Level 2 in Math","Percent of Students Scoring Level 2 in Math","Number of Students Scoring Level 3 in Math","Percent of Students Scoring Level 3 in Math","Number of Students Scoring Level 4 in Math","Percent of Students Scoring Level 4 in Math"
"K525","Edward R. Murrow High School","25873843","3949","6551.9987","General Academic","High school","1600 AVENUE L","BROOKLYN","NY","11230","K","40.62045699999999","-73.95996099999999","[-73.95996099999999,40.62045699999999]",NULL,NULL,"0","35","0","0","0","0","0","0","0","0","0","0","1216","1266","706","761","324","8","506","13","156","245","1028","26","1021","26","622","16","1250","32","1659","42","2290","58","879","611","70","571","65","94","292","33","48","279","32","46","40","5","7","185","21","61","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K527","Urban Assembly Institute of Math and Science for Young Women","2345436","317","7398.8517","General Academic","Junior High-Intermediate-Middle","283 ADAMS STREET","BROOKLYN","NY","11201","K","40.69452180000000","-73.98855979999999","[-73.98855979999999,40.6945218]","EMS","D","0","81","0","0","0","0","0","0","0","81","86","78","72","0","0","0","2","1","26","8","22","0","9","3","265","84","36","11","4","1","0","0","317","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"232","0","21","9","135","58","73","31","3","1","232","0","17","7","114","49","81","34","20","9"
"K528","The High School for Global Citizenship","3227091","411","7851.8029","General Academic","High school","883 CLASSON AVENUE","BROOKLYN","NY","11225","K","40.66980600000000","-73.96066800000000","[-73.960668,40.669806]",NULL,NULL,"0","82","0","0","0","0","0","0","0","0","0","0","86","113","104","108","13","3","43","11","16","13","2","1","359","87","41","10","3","1","200","49","211","51","101","54","54","43","43","80","5","5","9","38","38","70","11","11","20","36","36","8","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K529","West Brooklyn Community High School","2082679","199","10465.7236","Transfer School","High school","1053 41ST STREET","BROOKLYN","NY","11219","K","40.64275050000001","-73.99279400000000","[-73.992794,40.64275050000001]","HST","A","0","67","0","0","0","0","0","0","0","0","0","0","0","151","39","9","5","3","13","7","2","1","19","10","29","15","119","60","31","16","116","58","83","42","96","21","22","12","13","57","0","0","0","12","13","57","9","9","43","58","60","15","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K530","Metropolitan Corporate Academy High School","3095937","408","7588.0809","General Academic","High school","362 SCHERMERHORN STREET","BROOKLYN","NY","11217","K","40.68675420000000","-73.98012870000000","[-73.9801287,40.6867542]",NULL,NULL,"0","79","0","0","0","0","0","0","0","0","0","0","132","103","110","63","7","2","61","15","14","31","4","1","322","79","67","16","7","2","206","51","202","50","84","38","45","22","26","58","2","2","5","20","24","53","16","19","42","29","35","11","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K531","School for Human Rights, The","3273797","389","8415.9306","General Academic","Secondary School","600 KINGSTON AVENUE","BROOKLYN","NY","11203","K","40.65866500000000","-73.94383800000000","[-73.943838,40.658665]","EMS","B","0","79","0","0","0","0","0","0","0","50","30","49","68","75","67","50","12","3","49","13","25","1","0","0","360","93","21","5","7","2","197","51","192","49","55","38","69","20","36","53","0","0","0","20","36","53","18","33","47","12","22","5","9","123","0","21","17","78","63","24","19","0","0","123","0","9","7","74","60","30","24","10","8"
"K533","School for Democracy and Leadership","3656510","451","8107.5610","General Academic","Secondary School","600 KINGSTON AVENUE","BROOKLYN","NY","11203","K","40.65866500000000","-73.94383800000000","[-73.943838,40.658665]","EMS","C","0","74","0","0","0","0","0","0","0","37","53","60","70","84","82","65","13","3","69","15","41","6","0","0","409","91","33","7","5","1","199","44","252","56","57","39","68","20","35","51","0","0","0","20","35","51","19","33","49","14","25","3","5","135","0","21","15","93","68","20","14","1","1","133","0","12","9","90","67","24","18","7","5"
"K534","Upper School @ P.S. 25","2670789","234","11413.6282","General Academic","Junior High-Intermediate-Middle","787 LAFAYETTE AVENUE","BROOKLYN","NY","11221","K","40.69122560000000","-73.94062090000000","[-73.9406209,40.6912256]","EMS","C","0","69","0","0","0","0","0","0","0","62","81","91","0","0","0","0","7","3","62","27","1","43","0","0","187","80","45","19","2","1","118","50","116","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"203","0","59","29","117","57","27","13","0","0","206","0","53","25","105","51","38","18","10","5"
"K535","Leon M. Goldstein High School for the Sciences","5894392","1049","5619.0582","General Academic","High school","1830 SHORE BOULEVARD","BROOKLYN","NY","11235","K","40.58089570000000","-73.93514119999999","[-73.93514119999999,40.5808957]",NULL,NULL,"0","33","0","0","0","0","0","0","0","0","0","0","249","292","253","255","6","1","52","5","23","0","122","12","116","11","95","9","714","68","421","40","628","60","213","180","85","161","76","89","107","50","59","54","25","30","19","9","11","26","12","5","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K537","High School for Youth and Community Development at Erasmus","3661656","420","8718.2286","General Academic","High school","911 FLATBUSH AVENUE","BROOKLYN","NY","11226","K","40.64954100000000","-73.95850070000000","[-73.9585007,40.649541]",NULL,NULL,"0","85","0","0","0","0","0","0","0","0","0","0","112","133","69","106","22","5","55","13","41","3","4","1","358","85","51","12","3","1","245","58","175","42","118","51","43","22","19","43","0","0","0","22","19","43","29","25","57","37","31","26","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
