"DBN","School Name","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","FL Percent","FRL Percent","Pre-K Demographics","K Demographics","Grade 1 Demographics","Grade 2 Demographics","Grade 3 Demographics","Grade 4 Demographics","Grade 5 Demographics","Grade 6 Demographics","Grade 7 Demographics","Grade 8 Demographics","Grade 9 Demographics","Grade 10 Demographics","Grade 11 Demographics","Grade 12 Demographics","Number of English Language Learners","Percent of English Language Learners","Number of Special Education Students","Percent of Special Education Students","Number of Collaborative Team Teaching Students","Number of Self-Contained Classroom Students","Number of Asian Students","Percent of Asian Students","Number of Black Students","Percent of Black Students","Number of Hispanic Students","Percent of Hispanic Students","Number of White Students","Percent of White Students","Number of Male Students","Percent of Male Students","Number of Female Students","Percent of Female Students","Number of Students in Cohort","Number of Graduation Students in Cohort","Percent of Graduation Students in Cohort","Number of Regents in Cohort","Total Regents - % of cohort","Total Regents - % of grads","Advanced Regents - n","Advanced Regents - % of cohort","Advanced Regents - % of grads","Regents without Advanced - n","Regents without Advanced - % of cohort","Regents without Advanced - % of grads","Local - n","Local - % of cohort","Local - % of grads","Still Enrolled - n","Still Enrolled - % of cohort","Dropped Out - n","Dropped Out - % of cohort","Number of Students Tested for ELA","ELA Mean Scale Score","Number of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 1 in ELA","Number of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 2 in ELA","Number of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 3 in ELA","Number of Students Scoring Level 4 in ELA","Percent of Students Scoring Level 4 in ELA","Number of Students Tested for Math","Math Mean Scale Score","Number of Students Scoring Level 1 in Math","Percent of Students Scoring Level 1 in Math","Number of Students Scoring Level 2 in Math","Percent of Students Scoring Level 2 in Math","Number of Students Scoring Level 3 in Math","Percent of Students Scoring Level 3 in Math","Number of Students Scoring Level 4 in Math","Percent of Students Scoring Level 4 in Math"
"K001","P.S. 001 The Bergen","10043886","1061","9466.4336","General Academic","Elementary","309 47 STREET","BROOKLYN","NY","11220","K","40.64918630000000","-74.01252389999999","[-74.01252389999999,40.6491863]","EMS","C","0","90","36","170","183","205","152","157","158","0","0","0","0","0","0","0","376","35","149","14","58","39","52","5","16","2","970","91","21","2","505","48","556","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"439","0","59","13","221","50","141","32","18","4","454","0","25","6","183","40","177","39","69","15"
"K002","Parkside Preparatory Academy","5253753","400","13134.3825","General Academic","Junior High-Intermediate-Middle","655 PARKSIDE AVENUE","BROOKLYN","NY","11226","K","40.65617150000000","-73.95157180000000","[-73.9515718,40.6561715]","EMS","B","0","95","0","0","0","0","0","0","0","112","138","150","0","0","0","0","48","12","86","22","19","53","11","3","330","83","46","12","7","2","206","52","194","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"374","0","82","21","180","48","103","27","9","2","389","0","76","19","189","48","90","23","34","9"
"K003","P.S. 003 The Bedford Village","4824528","638","7561.9561","General Academic","Elementary","50 JEFFERSON AVENUE","BROOKLYN","NY","11216","K","40.68228800000000","-73.95520100000000","[-73.955201,40.682288]","EMS","C","0","78","53","107","96","98","98","106","80","0","0","0","0","0","0","0","44","7","62","10","11","19","52","8","510","80","44","7","9","1","302","47","336","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"269","0","44","16","112","41","100","37","13","5","273","0","29","10","107","39","101","37","36","13"
"K005","P.S. 005 Dr. Ronald Mcnair","4979698","460","10825.4304","General Academic","Elementary","820 HANCOCK STREET","BROOKLYN","NY","11233","K","40.68560300000000","-73.92321220000000","[-73.9232122,40.685603]","EMS","B","0","90","17","75","70","90","82","71","55","0","0","0","0","0","0","0","14","3","78","17","11","33","6","1","374","81","65","14","13","3","219","48","241","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"193","0","34","17","74","38","76","39","9","5","193","0","23","11","75","38","59","30","36","19"
"K006","P.S. 006","6046410","660","9161.2273","General Academic","Elementary","43 SNYDER AVENUE","BROOKLYN","NY","11226","K","40.64860350000000","-73.95667080000000","[-73.9566708,40.6486035]","EMS","B","0","94","0","65","100","120","124","137","114","0","0","0","0","0","0","0","79","12","100","15","19","46","6","1","542","82","95","14","11","2","312","47","348","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"355","0","56","15","160","45","119","33","20","6","361","0","49","13","158","43","111","30","43","12"
"K007","P.S. 007 Abraham Lincoln","7459702","957","7794.8819","General Academic","Elementary","858 JAMAICA AVENUE","BROOKLYN","NY","11208","K","40.68967250000000","-73.87311450000000","[-73.8731145,40.6896725]","EMS","B","0","84","72","172","186","190","164","173","0","0","0","0","0","0","0","0","188","19","93","10","9","50","46","5","165","17","706","74","12","1","488","51","469","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"322","0","42","13","138","42","126","39","16","5","340","0","27","8","109","32","122","35","82","24"
"K008","P.S. 008 Robert Fulton","4273113","541","7898.5453","General Academic","Elementary","37 HICKS STREET","BROOKLYN","NY","11201","K","40.70084980000000","-73.99301650000000","[-73.9930165,40.7008498]","EMS","C","0","40","35","92","113","81","74","69","77","0","0","0","0","0","0","0","16","3","77","14","48","2","41","8","143","26","62","12","279","52","288","53","253","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"201","0","9","5","54","26","86","42","52","25","200","0","2","1","40","20","88","44","70","35"
"K009","P.S. 009 Teunis G. Bergen","5238302","538","9736.6208","General Academic","Elementary","80 UNDERHILL AVENUE","BROOKLYN","NY","11238","K","40.67852200000000","-73.96633500000000","[-73.966335,40.678522]","EMS","C","0","87","54","95","77","72","81","80","79","0","0","0","0","0","0","0","22","4","89","17","27","34","34","6","362","67","60","11","59","11","261","49","277","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"222","0","25","11","89","40","87","39","21","10","225","0","23","10","84","37","86","38","32","14"
"K010","Magnet School of Math, Science and Design Technology","7550180","725","10414.0414","General Academic","Elementary","511 7 AVENUE","BROOKLYN","NY","11215","K","40.75328560000000","-73.98893220000000","[-73.9889322,40.7532856]","EMS","A","0","82","59","176","131","106","95","75","83","0","0","0","0","0","0","0","58","8","160","22","52","28","45","6","108","15","278","38","272","38","369","51","356","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"204","0","11","5","67","32","91","44","35","17","206","0","6","3","58","28","93","45","49","24"
"K011","P.S. 011 Purvis J. Behan","4193674","574","7306.0523","General Academic","Elementary","419 WAVERLY AVENUE","BROOKLYN","NY","11238","K","40.68541500000000","-73.96618219999999","[-73.96618219999999,40.685415]","EMS","B","0","65","53","121","91","91","80","78","60","0","0","0","0","0","0","0","9","2","53","9","8","20","7","1","443","77","45","8","59","10","288","50","286","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"208","0","14","7","80","38","96","46","18","9","209","0","12","6","70","33","76","36","51","24"
"K012","Dr. Jacqueline Peek-Davis School","4089080","291","14051.8213","General Academic","Elementary","430 HOWARD AVENUE","BROOKLYN","NY","11233","K","40.67305280000001","-73.91962690000000","[-73.9196269,40.67305280000001]","EMS","B","0","96","18","39","50","46","43","50","45","0","0","0","0","0","0","0","10","3","38","13","5","26","1","0","240","83","46","16","1","0","148","51","143","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"127","0","28","22","61","48","28","22","10","8","127","0","7","6","43","33","52","40","25","20"
"K013","P.S. 013 Roberto Clemente","6192224","566","10940.3251","General Academic","Elementary","557 PENNSYLVANIA AVENUE","BROOKLYN","NY","11207","K","40.66352170000000","-73.89370240000000","[-73.8937024,40.6635217]","EMS","C","0","90","36","76","87","99","80","87","101","0","0","0","0","0","0","0","51","9","98","17","18","42","10","2","389","69","159","28","6","1","289","51","277","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"256","0","70","27","107","41","65","25","14","6","258","0","48","18","107","41","55","21","48","19"
"K014","J.H.S. 014 Shell Bank","9513416","709","13418.0762","General Academic","Junior High-Intermediate-Middle","2424 BATCHELDER STREET","BROOKLYN","NY","11235","K","40.59343190000000","-73.93766360000000","[-73.9376636,40.5934319]","EMS","C","0","83","0","0","0","0","0","0","0","246","221","242","0","0","0","0","93","13","184","26","72","86","56","8","461","65","106","15","85","12","387","55","322","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"626","0","123","19","346","55","149","23","8","1","647","0","110","17","329","50","154","23","54","8"
"K015","P.S. 015 Patrick F. Daly","5123436","390","13137.0154","General Academic","Elementary","71 SULLIVAN STREET","BROOKLYN","NY","11231","K","40.67706900000000","-74.01185090000000","[-74.0118509,40.677069]","EMS","A","0","94","49","48","53","51","62","73","54","0","0","0","0","0","0","0","37","10","132","34","40","70","7","2","144","37","199","51","30","8","215","55","175","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"172","0","28","16","63","36","69","40","12","7","172","0","7","4","44","25","89","51","32","19"
"K016","P.S. 016 Leonard Dunkly","3546564","355","9990.3211","General Academic","Elementary","157 WILSON STREET","BROOKLYN","NY","11211","K","40.70584220000000","-73.96200200000000","[-73.962002,40.7058422]","EMS","C","0","89","16","46","58","58","57","68","52","0","0","0","0","0","0","0","53","14","66","19","2","32","1","0","84","24","264","74","2","1","186","52","169","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"161","0","32","19","95","59","33","20","1","1","161","0","27","16","72","44","53","32","9","6"
"K017","P.S. 017 Henry D. Woodworth","4513730","390","11573.6667","General Academic","Elementary","208 NORTH 5 STREET","BROOKLYN","NY","11211","K","40.71528330000000","-73.95662240000000","[-73.9566224,40.7152833]","EMS","A","0","91","28","59","56","68","54","71","54","0","0","0","0","0","0","0","71","18","102","26","25","48","14","4","23","6","315","81","25","6","218","56","172","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"170","0","25","14","64","37","60","35","21","12","172","0","15","9","62","36","65","37","30","17"
"K018","P.S. 018 Edward Bush","2277323","219","10398.7352","General Academic","Elementary","101 MAUJER STREET","BROOKLYN","NY","11206","K","40.71065610000000","-73.94656499999999","[-73.94656499999999,40.7106561]","EMS","B","0","96","16","36","30","26","41","36","34","0","0","0","0","0","0","0","44","20","25","11","6","0","0","0","36","16","173","79","7","3","97","44","122","56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"108","0","15","13","57","52","31","28","5","5","108","0","5","5","39","36","47","43","17","16"
"K019","P.S. 019 Roberto Clemente","4558131","414","11009.9783","General Academic","Elementary","325 SOUTH 3 STREET","BROOKLYN","NY","11211","K","40.70954980000000","-73.95436070000000","[-73.9543607,40.7095498]","EMS","D","0","96","0","21","53","97","70","72","101","0","0","0","0","0","0","0","119","28","74","18","2","20","5","1","11","3","388","94","4","1","239","58","175","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"219","0","67","30","105","47","41","18","6","3","235","0","52","22","120","51","52","22","11","5"
"K020","P.S. 020 Clinton Hill","3374065","366","9218.7568","General Academic","Elementary","225 ADELPHI STREET","BROOKLYN","NY","11205","K","40.69133480000000","-73.97126000000000","[-73.97126,40.6913348]","EMS","C","0","68","18","45","50","65","68","66","54","0","0","0","0","0","0","0","9","3","44","12","4","17","6","2","264","72","60","16","27","7","182","50","184","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"184","0","27","14","89","48","57","31","11","6","184","0","19","10","91","49","51","27","23","13"
"K021","P.S. 021 Crispus Attucks","5518953","701","7872.9715","General Academic","Elementary","180 CHAUNCEY STREET","BROOKLYN","NY","11233","K","40.68062800000000","-73.92733830000000","[-73.9273383,40.680628]","EMS","A","0","86","34","89","113","111","121","115","118","0","0","0","0","0","0","0","2","0","101","14","19","24","7","1","631","90","48","7","4","1","312","45","389","56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"329","0","23","7","129","39","155","47","22","7","329","0","12","4","107","32","125","38","85","26"
"K022","P.S. 022","6115990","515","11875.7087","General Academic","Elementary","443 ST MARKS AVENUE","BROOKLYN","NY","11238","K","40.67708600000000","-73.96010500000000","[-73.960105,40.677086]","EMS","C","0","100","36","48","52","73","77","120","109","0","0","0","0","0","0","0","74","14","97","19","33","47","32","6","340","66","130","25","6","1","264","51","251","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"293","0","76","25","138","47","73","24","6","2","291","0","52","17","146","50","77","26","16","6"
"K023","P.S. 023 Carter G. Woodson","3035928","317","9577.0599","General Academic","Elementary","545 WILLOUGHBY AVENUE","BROOKLYN","NY","11206","K","40.69411640000000","-73.94718510000000","[-73.9471851,40.6941164]","EMS","A","0","96","18","38","46","61","51","52","51","0","0","0","0","0","0","0","35","11","68","22","10","35","4","1","176","56","136","43","0","0","172","54","145","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"139","0","36","25","59","42","39","28","5","4","140","0","19","13","53","37","48","34","20","14"
"K024","P.S. 024","8377373","767","10922.2595","General Academic","Elementary","427 38 STREET","BROOKLYN","NY","11232","K","40.65282690000000","-74.00473939999999","[-74.00473939999999,40.6528269]","EMS","C","0","92","18","110","127","143","139","117","113","0","0","0","0","0","0","0","349","45","150","20","45","42","21","3","12","2","701","91","30","4","391","51","376","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"349","0","99","28","165","47","72","20","13","4","355","0","51","14","164","46","104","29","36","10"
"K025","P.S. 025 Eubie Blake School","5158209","364","14170.9038","General Academic","Elementary","787 LAFAYETTE AVENUE","BROOKLYN","NY","11221","K","40.69122560000000","-73.94062090000000","[-73.9406209,40.6912256]","EMS","C","0","98","32","53","52","50","52","50","75","0","0","0","0","0","0","0","15","4","52","14","0","32","2","1","279","77","70","19","5","1","177","49","187","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"173","0","37","21","88","50","38","22","10","6","172","0","5","3","78","45","69","40","20","12"
"K026","P.S. 026 Jesse Owens","3560286","344","10349.6686","General Academic","Elementary","1014 LAFAYETTE AVENUE","BROOKLYN","NY","11221","K","40.69214970000000","-73.93148939999999","[-73.93148939999999,40.6921497]","EMS","C","0","94","18","47","49","56","59","54","61","0","0","0","0","0","0","0","16","5","75","22","44","14","4","1","261","76","66","19","7","2","180","52","164","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"171","0","31","18","71","41","56","32","13","8","171","0","13","8","68","39","66","38","24","14"
"K028","P.S. 028 The Warren Prep Academy","3130290","267","11723.9326","General Academic","Elementary","1001 HERKIMER STREET","BROOKLYN","NY","11233","K","40.67804790000000","-73.92024270000000","[-73.9202427,40.6780479]","EMS","B","0","89","18","43","36","47","35","45","43","0","0","0","0","0","0","0","17","6","32","12","11","8","3","1","228","85","32","12","0","0","138","52","129","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"119","0","34","28","45","37","34","28","6","5","121","0","15","12","51","42","37","30","18","15"
"K029","P.S. 029 John M. Harrigan","5026322","669","7513.1868","General Academic","Elementary","425 HENRY STREET","BROOKLYN","NY","11201","K","40.68681150000000","-73.99811580000000","[-73.9981158,40.6868115]","EMS","A","0","29","54","123","96","91","91","110","104","0","0","0","0","0","0","0","26","4","89","13","50","10","56","8","64","10","126","19","405","61","329","49","340","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"287","0","11","4","44","15","156","54","76","26","290","0","8","3","44","15","109","37","129","45"
"K030","PS/IS 30 Mary White Ovington","2861522","346","8270.2948","General Academic","K-8","7002 4TH AVENUE","BROOKLYN","NY","11209","K","40.63372330000000","-74.02390360000000","[-74.0239036,40.6337233]","EMS","A","0","75","0","0","0","0","0","0","0","114","112","120","0","0","0","0","38","11","36","10","24","0","69","20","14","4","89","26","174","50","161","47","185","54",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"335","0","29","9","132","39","145","43","29","9","348","0","16","5","67","19","129","37","136","39"
"K031","P.S. 031 Samuel F. Dupont","4182841","543","7703.2063","General Academic","Elementary","75 MESEROLE AVENUE","BROOKLYN","NY","11222","K","40.72696000000000","-73.95412600000000","[-73.954126,40.72696]","EMS","A","0","75","23","112","81","82","96","72","77","0","0","0","0","0","0","0","43","8","68","13","14","21","55","10","25","5","254","47","193","36","269","50","274","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"236","0","0","0","22","9","129","54","85","36","241","0","0","0","11","5","69","28","161","67"
"K032","P.S. 032 Samuels Mills Sprole","6663345","307","21704.7068","General Academic","Elementary","317 HOYT STREET","BROOKLYN","NY","11231","K","40.68014700000000","-73.99112699999999","[-73.99112699999999,40.680147]","EMS","A","0","78","31","47","53","34","53","43","46","0","0","0","0","0","0","0","40","13","128","42","87","21","14","5","95","31","139","45","55","18","193","63","114","37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"116","0","31","26","48","41","36","31","1","1","116","0","4","3","41","35","40","34","31","27"
"K034","P.S. 034 Oliver H. Perry","3695972","489","7558.2249","General Academic","Elementary","131 NORMAN AVENUE","BROOKLYN","NY","11222","K","40.72611490000000","-73.94971800000000","[-73.949718,40.7261149]","EMS","B","0","78","34","85","84","69","76","76","65","0","0","0","0","0","0","0","86","17","43","9","16","0","24","5","18","4","100","20","347","71","241","49","248","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"209","0","12","6","62","29","95","45","40","19","215","0","4","2","33","15","87","40","91","42"
"K035","M.S. 035 Stephen Decatur","2424425","231","10495.3463","General Academic","Junior High-Intermediate-Middle","272 MACDONOUGH STREET","BROOKLYN","NY","11233","K","40.68195930000000","-73.93537189999999","[-73.93537189999999,40.6819593]","EMS","A","0","84","0","0","0","0","0","0","1","89","67","74","0","0","0","0","1","0","57","25","0","37","1","0","202","87","26","11","1","0","117","51","114","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"216","0","40","18","117","54","56","25","3","1","216","0","33","15","112","51","58","26","13","6"
"K038","P.S. 038 The Pacific","4644219","494","9401.2530","General Academic","Elementary","450 PACIFIC STREET","BROOKLYN","NY","11217","K","40.68492500000001","-73.98284500000000","[-73.982845,40.68492500000001]","EMS","C","0","74","53","76","67","63","65","96","74","0","0","0","0","0","0","0","33","7","89","18","1","49","11","2","210","43","175","35","77","16","242","49","252","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"218","0","35","16","99","45","58","26","26","11","218","0","11","5","84","38","86","39","37","17"
"K039","P.S. 039 Henry Bristow","2815496","342","8232.4444","General Academic","Elementary","417 6 AVENUE","BROOKLYN","NY","11215","K","40.66888369999999","-73.98307460000000","[-73.9830746,40.66888369999999]","EMS","B","0","37","36","59","54","57","47","49","40","0","0","0","0","0","0","0","19","6","51","15","13","1","17","5","57","17","97","28","161","47","171","50","171","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"125","0","5","4","36","28","55","44","29","23","124","0","3","2","27","21","55","44","39","32"
"K040","P.S. 040 George W. Carver","3587741","377","9516.5544","General Academic","Elementary","265 RALPH AVENUE","BROOKLYN","NY","11233","K","40.68043390000000","-73.92222570000000","[-73.9222257,40.6804339]","EMS","A","0","96","18","56","41","54","79","66","63","0","0","0","0","0","0","0","11","3","70","19","1","45","4","1","327","87","33","9","9","2","194","52","183","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"191","0","41","21","71","37","61","31","18","9","193","0","18","9","75","38","56","29","44","23"
"K041","P.S. 041 Francis White","6144720","695","8841.3237","General Academic","K-8","411 THATFORD AVENUE","BROOKLYN","NY","11212","K","40.66043890000000","-73.90693200000000","[-73.906932,40.6604389]","EMS","C","0","92","0","74","90","63","61","87","67","65","92","96","0","0","0","0","28","4","135","19","34","55","4","1","516","74","159","23","5","1","344","50","351","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"441","0","106","24","233","52","94","21","8","2","446","0","75","16","244","54","106","23","21","5"
"K044","P.S. 044 Marcus Garvey","3945336","442","8926.0995","General Academic","Elementary","432 MONROE STREET","BROOKLYN","NY","11221","K","40.68619000000000","-73.94085500000000","[-73.940855,40.68619]","EMS","B","0","94","18","66","55","64","70","85","84","0","0","0","0","0","0","0","6","1","45","10","2","25","14","3","380","86","39","9","5","1","224","51","218","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"230","0","35","15","96","41","77","33","22","10","229","0","15","7","89","38","72","31","53","23"
"K045","P.S. 045 Horace E. Greene","7014491","763","9193.3041","General Academic","Elementary","84 SCHAEFER STREET","BROOKLYN","NY","11207","K","40.68639000000000","-73.91045199999999","[-73.91045199999999,40.68639]","EMS","A","0","95","54","117","124","122","121","113","112","0","0","0","0","0","0","0","66","9","96","13","10","53","3","0","456","60","288","38","7","1","399","52","364","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"338","0","32","10","156","46","123","36","27","8","340","0","19","6","145","42","131","38","45","13"
"K046","P.S. 046 Edward C. Blum","4096401","375","10923.7360","General Academic","Elementary","100 CLERMONT AVENUE","BROOKLYN","NY","11205","K","40.69451400000000","-73.97164200000000","[-73.971642,40.694514]","EMS","A","0","95","49","54","52","63","56","51","50","0","0","0","0","0","0","0","62","16","69","18","1","42","4","1","193","52","163","44","14","4","199","53","176","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"140","0","26","18","68","48","43","30","3","2","139","0","19","13","58","41","53","38","9","7"
"K048","P.S. 048 Mapleton","5127712","654","7840.5382","General Academic","Elementary","6015 18 AVENUE","BROOKLYN","NY","11204","K","40.62165239999999","-73.98760770000000","[-73.9876077,40.62165239999999]","EMS","B","0","88","35","104","108","80","110","121","96","0","0","0","0","0","0","0","169","25","73","11","0","44","350","54","10","2","127","19","164","25","337","52","317","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"312","0","26","8","110","35","143","45","33","10","325","0","16","5","64","19","108","33","137","42"
"K050","J.H.S. 050 John D. Wells","5136931","540","9512.8352","General Academic","Junior High-Intermediate-Middle","183 SOUTH 3 STREET","BROOKLYN","NY","11211","K","40.71157140000000","-73.95989960000000","[-73.9598996,40.7115714]","EMS","B","0","93","0","0","0","0","0","0","0","150","173","217","0","0","0","0","130","24","115","21","10","63","12","2","89","17","433","80","4","1","281","52","259","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"478","0","110","23","290","60","75","15","3","1","499","0","117","23","272","54","84","16","26","5"
"K051","M.S. 51 William Alexander","6062938","1071","5661.0065","General Academic","Junior High-Intermediate-Middle","350 5 AVENUE","BROOKLYN","NY","11215","K","40.73463530000000","-73.98982070000000","[-73.9898207,40.7346353]","EMS","A","0","39","0","0","0","0","0","0","0","374","369","328","0","0","0","0","14","1","107","10","34","55","171","16","186","17","312","29","398","37","457","43","614","57",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","0","21","2","144","13","640","61","229","22","1032","0","25","2","132","12","382","37","493","48"
"K052","P.S. 052 Sheepshead Bay","7545666","759","9941.5889","General Academic","Elementary","2675 EAST 29 STREET","BROOKLYN","NY","11235","K","40.58796640000001","-73.94054720000000","[-73.9405472,40.58796640000001]","EMS","B","0","76","35","102","131","132","127","124","108","0","0","0","0","0","0","0","117","15","123","16","72","31","51","7","159","21","119","16","425","56","407","54","352","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"345","0","45","13","138","40","124","35","38","11","349","0","19","5","98","28","140","40","92","26"
"K054","P.S. 054 Samuel C. Barnes","3633890","283","12840.6007","General Academic","Elementary","195 SANFORD STREET","BROOKLYN","NY","11205","K","40.69261950000000","-73.95281890000000","[-73.9528189,40.6926195]","EMS","C","0","95","33","37","42","53","33","35","50","0","0","0","0","0","0","0","28","10","51","18","29","14","9","3","172","61","94","33","6","2","147","52","136","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"107","0","20","18","47","43","37","34","3","3","109","0","16","14","52","47","34","31","7","6"
