"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"International School for Liberal Arts","X342","4638684","510","9095.4588","General Academic","Secondary School","2780 RESERVOIR AVENUE","BRONX","NY","10468","X","40.87088010000000","-73.89775290000000","[-73.8977529,40.8708801]","EMS","B","90","72","69","95","30","42","39","54","21","3","1.380","67","28","5","0","1.727","37","52","10","0"
"Irwin Altman Middle School 172","Q172","6988841","1028","6798.4835","General Academic","Intermediate","81-14 257 STREET","QUEENS","NY","11004","Q","40.74206690000000","-73.71302220000000","[-73.7130222,40.7420669]","EMS","B",,,,,,,,,,,"2.747","3","29","57","10","3.202","2","18","37","42"
"Isaac Newton Middle School for Math & Science","M825","3168556","362","8752.9171","General Academic","Intermediate","260 PLEASANT AVENUE","MANHATTAN","NY","10029","M","40.79417200000000","-73.93285200000000","[-73.932852,40.794172]","EMS","C",,,,,,,,,,,"2.161","9","65","25","0","2.490","5","49","38","8"
"It Takes a Village Academy","K563","2637804","289","9127.3495","General Academic","High School","5800 TILDEN AVENUE","BROOKLYN","NY","11203","K","40.64773300000000","-73.92220200000000","[-73.922202,40.647733]",,,"1","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"J.H.S. 008 Richard S. Grossley","Q008","6782942","716","9473.3827","General Academic","Intermediate","108-35 167 STREET","QUEENS","NY","11433","Q","40.69691000000000","-73.78639690000000","[-73.7863969,40.69691]","EMS","C",,,,,,,,,,,"1.918","23","60","15","0","2.112","17","57","20","4"
"J.H.S. 013 Jackie Robinson","M013","3673295","309","11887.6861","General Academic","Intermediate","1573 MADISON AVENUE","MANHATTAN","NY","10029","M","40.79367990000000","-73.94921640000000","[-73.9492164,40.7936799]","EMS","C",,,,,,,,,,,"1.846","28","57","13","0","1.857","33","49","13","3"
"J.H.S. 014 Shell Bank","K014","9513416","709","13418.0762","General Academic","Intermediate","2424 BATCHELDER STREET","BROOKLYN","NY","11235","K","40.59343190000000","-73.93766360000000","[-73.9376636,40.5934319]","EMS","C",,,,,,,,,,,"2.061","19","55","23","1","2.224","17","50","23","8"
"J.H.S. 022 Jordan L. Mott","X022","6259001","678","9231.5649","General Academic","Intermediate","270 EAST 167 STREET","BRONX","NY","10456","X","40.83324790000000","-73.91405960000000","[-73.9140596,40.8332479]","EMS","C",,,,,,,,,,,"1.757","37","49","13","0","1.979","28","51","14","6"
"J.H.S. 050 John D. Wells","K050","5136931","540","9512.8352","General Academic","Intermediate","183 SOUTH 3 STREET","BROOKLYN","NY","11211","K","40.71157140000000","-73.95989960000000","[-73.9598996,40.7115714]","EMS","B",,,,,,,,,,,"1.939","23","60","15","1","2.030","23","54","16","5"
"J.H.S. 052 Inwood","M052","8223076","828","9931.2512","General Academic","Intermediate","650 ACADEMY STREET","MANHATTAN","NY","10034","M","40.86621640000000","-73.92492610000000","[-73.9249261,40.8662164]","EMS","A",,,,,,,,,,,"1.989","27","46","24","1","2.316","17","43","28","10"
"J.H.S. 054 Booker T. Washington","M054","5132944","814","6305.8280","General Academic","Intermediate","103 WEST 107 STREET","MANHATTAN","NY","10025","M","40.80072060000000","-73.96271440000000","[-73.9627144,40.8007206]","EMS","B",,,,,,,,,,,"2.959","6","17","51","25","3.303","5","14","26","54"
"J.H.S. 057 Whitelaw Reid","K057","2980064","239","12468.8870","General Academic","Intermediate","125 STUYVESANT AVENUE","BROOKLYN","NY","11221","K","40.69144900000000","-73.93225000000000","[-73.93225,40.691449]","EMS","C",,,,,,,,,,,"1.908","25","57","16","0","2.090","18","57","21","3"
"J.H.S. 062 Ditmas","K062","10041703","1206","8326.4536","General Academic","Intermediate","700 CORTELYOU ROAD","BROOKLYN","NY","11218","K","40.63864290000000","-73.97179510000000","[-73.9717951,40.6386429]","EMS","A",,,,,,,,,,,"2.171","15","54","28","2","2.444","11","45","31","12"
"J.H.S. 067 Louis Pasteur","Q067","5495719","959","5730.6767","General Academic","Intermediate","51-60 MARATHON PARKWAY","QUEENS","NY","11362","Q","40.76222700000000","-73.73481400000000","[-73.734814,40.762227]","EMS","B",,,,,,,,,,,"2.949","2","20","58","19","3.520","1","10","25","64"
"J.H.S. 074 Nathaniel Hawthorne","Q074","7291267","1018","7162.3448","General Academic","Intermediate","61-15 OCEANIA STREET","QUEENS","NY","11364","Q","40.74506900000000","-73.76679650000000","[-73.7667965,40.745069]","EMS","A",,,,,,,,,,,"2.959","3","19","56","21","3.540","0","10","26","64"
"J.H.S. 078 Roy H. Mann","K078","8542413","1145","7460.6227","General Academic","Intermediate","1420 EAST 68 STREET","BROOKLYN","NY","11234","K","40.62143180000000","-73.91311280000000","[-73.9131128,40.6214318]","EMS","C",,,,,,,,,,,"2.270","11","54","32","3","2.444","11","45","31","12"
"J.H.S. 080 The Mosholu Parkway","X080","6284491","620","10136.2758","General Academic","Intermediate","149 EAST MOSHOLU PKWY","BRONX","NY","10467","X","40.87683000000000","-73.88123600000000","[-73.881236,40.87683]","EMS","B",,,,,,,,,,,"1.888","32","47","19","1","1.979","32","43","18","6"
"J.H.S. 088 Peter Rouget","K088","7993752","875","9135.7166","General Academic","Intermediate","544 7 AVENUE","BROOKLYN","NY","11215","K","40.66079100000000","-73.98873390000000","[-73.9887339,40.660791]","EMS","B",,,,,,,,,,,"2.171","13","58","26","2","2.525","9","42","35","13"
"J.H.S. 098 Herman Ridder","X098","4460700","459","9718.3007","General Academic","Intermediate","1619 BOSTON ROAD","BRONX","NY","10460","X","40.83582090000000","-73.89098330000002","[-73.89098330000002,40.8358209]","EMS","A",,,,,,,,,,,"2.010","20","57","19","1","2.474","7","49","32","11"
"J.H.S. 104 Simon Baruch","M104","6297345","997","6316.2939","General Academic","Intermediate","330 EAST 21 STREET","MANHATTAN","NY","10010","M","40.73626450000000","-73.98110890000000","[-73.9811089,40.7362645]","EMS","B",,,,,,,,,,,"2.646","5","34","51","9","2.989","5","25","35","34"
"J.H.S. 118 William W. Niles","X118","8530386","1151","7411.2824","General Academic","Intermediate","577 EAST 179 STREET","BRONX","NY","10457","X","40.84843920000000","-73.89285230000000","[-73.8928523,40.8484392]","EMS","C",,,,,,,,,,,"2.363","13","42","39","5","2.707","10","31","36","22"
"J.H.S. 123 James M. Kieran","X123","5367038","567","9465.6755","General Academic","Intermediate","1025 MORRISON AVENUE","BRONX","NY","10472","X","40.82488360000000","-73.87351760000000","[-73.8735176,40.8248836]","EMS","A",,,,,,,,,,,"1.938","22","59","16","0","2.340","15","44","33","8"
"J.H.S. 125 Henry Hudson","X125","6268816","701","8942.6762","General Academic","Intermediate","1111 PUGSLEY AVENUE","BRONX","NY","10472","X","40.82941440000000","-73.85678290000000","[-73.8567829,40.8294144]","EMS","B",,,,,,,,,,,"2.070","21","51","26","1","2.300","19","45","23","13"
"J.H.S. 127 The Castle Hill","X127","6200640","734","8447.7384","General Academic","Intermediate","1560 PURDY STREET","BRONX","NY","10462","X","40.83811520000000","-73.85343240000000","[-73.8534324,40.8381152]","EMS","B",,,,,,,,,,,"2.171","15","54","28","2","2.295","19","44","22","13"
"J.H.S. 131 Albert Einstein","X131","7178311","879","8166.4516","General Academic","Intermediate","885 BOLTON AVENUE","BRONX","NY","10473","X","40.82374190000000","-73.85973290000000","[-73.8597329,40.8237419]","EMS","C",,,,,,,,,,,"2.081","17","57","23","1","2.214","19","47","24","8"
"J.H.S. 143 Eleanor Roosevelt","M143","7336709","751","9769.2530","General Academic","Intermediate","511 WEST 182ND STREET","MANHATTAN","NY","10033","M","40.84896560000000","-73.93101130000000","[-73.9310113,40.8489656]","EMS","B",,,,,,,,,,,"1.868","30","53","15","1","2.121","21","51","21","6"
"J.H.S. 144 Michelangelo","X144","8819193","1052","8383.2633","General Academic","Intermediate","2545 GUNTHER AVENUE","BRONX","NY","10469","X","40.86383600000000","-73.83653090000000","[-73.8365309,40.863836]","EMS","C",,,,,,,,,,,"2.030","21","55","22","1","2.160","19","52","23","6"
"J.H.S. 145 Arturo Toscanini","X145","5252354","495","10610.8162","General Academic","Intermediate","1000 TELLER AVENUE","BRONX","NY","10456","X","40.83264000000000","-73.91187500000000","[-73.911875,40.83264]","EMS","B",,,,,,,,,,,"1.949","26","53","19","1","2.030","21","56","18","3"
"J.H.S. 151 Lou Gehrig","X151","3298095","280","11778.9107","General Academic","Intermediate","250 EAST 156 STREET","BRONX","NY","10451","X","40.82307350000000","-73.92134270000000","[-73.9213427,40.8230735]","EMS","A",,,,,,,,,,,"1.868","27","58","14","0","2.051","21","54","20","3"
"J.H.S. 157 Stephen A. Halsey","Q157","8834566","1076","8210.5632","General Academic","Intermediate","63-55 102ND STREET","QUEENS","NY","11374","Q","40.73234750000000","-73.85384450000000","[-73.8538445,40.7323475]","EMS","A",,,,,,,,,,,"2.616","9","34","42","14","2.990","7","26","28","39"
"J.H.S. 162 Lola Rodriguez De Tio","X162","7762877","835","9296.8587","General Academic","Intermediate","600 SAINT ANN'S AVENUE","BRONX","NY","10455","X","40.81432860000000","-73.91287799999999","[-73.91287799999999,40.8143286]","EMS","B",,,,,,,,,,,"1.979","24","54","20","1","2.141","18","53","24","4"
"J.H.S. 162 The Willoughby","K162","5868744","628","9345.1338","General Academic","Intermediate","1390 WILLOUGHBY AVENUE","BROOKLYN","NY","11237","K","40.70722629999999","-73.91979429999999","[-73.91979429999999,40.70722629999999]","EMS","C",,,,,,,,,,,"1.969","23","58","16","2","2.181","20","49","22","8"
"J.H.S. 166 George Gershwin","K166","5290532","559","9464.2791","General Academic","Intermediate","800 VAN SICLEN AVE","BROOKLYN","NY","11207","K","40.65997790000000","-73.88542880000000","[-73.8854288,40.6599779]","EMS","C",,,,,,,,,,,"1.816","30","56","12","0","2.060","21","54","21","3"
"J.H.S. 167 Robert F. Wagner","M167","7537951","1228","6138.3966","General Academic","Intermediate","220 EAST 76 STREET","MANHATTAN","NY","10021","M","40.77190800000000","-73.95788440000000","[-73.9578844,40.771908]","EMS","B",,,,,,,,,,,"2.646","5","35","49","10","3.121","4","20","35","40"
"J.H.S. 185 Edward Bleeker","Q185","7756494","1070","7249.0598","General Academic","Intermediate","147-26 25 DRIVE","QUEENS","NY","11354","Q","40.77524650000000","-73.81938939999999","[-73.81938939999999,40.7752465]","EMS","A",,,,,,,,,,,"2.596","7","36","46","10","3.151","3","20","35","41"
"J.H.S. 189 Daniel Carter Beard","Q189","5729360","754","7598.6207","General Academic","Intermediate","144-80 BARCLAY AVENUE","QUEENS","NY","11355","Q","40.76034710000000","-73.81790930000000","[-73.8179093,40.7603471]","EMS","B",,,,,,,,,,,"2.303","19","38","35","7","2.826","7","28","38","25"
"J.H.S. 190 Russell Sage","Q190","5665696","870","6512.2943","General Academic","Intermediate","68-17 AUSTIN STREET","QUEENS","NY","11375","Q","40.72301380000000","-73.85184550000000","[-73.8518455,40.7230138]","EMS","C",,,,,,,,,,,"2.656","7","33","46","13","2.980","6","27","30","37"
"J.H.S. 194 William Carr","Q194","6306685","1128","5591.0328","General Academic","Intermediate","154-60 17 AVENUE","QUEENS","NY","11357","Q","40.78322000000000","-73.80697700000000","[-73.806977,40.78322]","EMS","A",,,,,,,,,,,"2.734","4","30","52","12","3.323","1","14","36","48"
"J.H.S. 201 The Dyker Heights","K201","9583387","1530","6263.6516","General Academic","Intermediate","8010 12 AVENUE","BROOKLYN","NY","11228","K","40.61903100000000","-74.01374600000001","[-74.01374600000001,40.619031]","EMS","A",,,,,,,,,,,"2.620","6","34","52","8","3.180","3","19","35","43"
"J.H.S. 202 Robert H. Goddard","Q202","7257978","1096","6622.2427","General Academic","Intermediate","138-30 LAFAYETTE STREET","QUEENS","NY","11417","Q","40.67179710000000","-73.84496130000000","[-73.8449613,40.6717971]","EMS","B",,,,,,,,,,,"2.494","7","42","44","6","2.870","5","32","34","29"
"J.H.S. 210 Elizabeth Blackwell","Q210","12737298","2037","6252.9691","General Academic","Intermediate","93-11 101 AVENUE","QUEENS","NY","11416","Q","40.68394030000000","-73.84720670000000","[-73.8472067,40.6839403]","EMS","C",,,,,,,,,,,"2.424","10","43","40","6","2.737","9","34","30","26"
"J.H.S. 216 George J. Ryan","Q216","7108809","1274","5579.9129","General Academic","Intermediate","64-20 175 STREET","QUEENS","NY","11365","Q","40.73761289999999","-73.79401130000000","[-73.7940113,40.73761289999999]","EMS","A",,,,,,,,,,,"2.777","3","28","56","12","3.434","1","12","29","57"
"J.H.S. 217 Robert A. Van Wyck","Q217","9576412","1325","7227.4808","General Academic","Intermediate","85-05 144 STREET","QUEENS","NY","11435","Q","40.71038200000000","-73.81142899999999","[-73.81142899999999,40.710382]","EMS","B",,,,,,,,,,,"2.353","11","47","36","5","2.596","10","38","33","18"
"J.H.S. 218 James P. Sinnott","K218","5773941","638","9050.0643","General Academic","Intermediate","370 FOUNTAIN AVENUE","BROOKLYN","NY","11208","K","40.67002600000000","-73.87451500000000","[-73.874515,40.670026]","EMS","B",,,,,,,,,,,"2.101","20","52","24","3","2.454","14","41","29","15"
"J.H.S. 220 John J. Pershing","K220","10366376","1290","8035.9504","General Academic","Intermediate","4812 9 AVENUE","BROOKLYN","NY","11220","K","40.64084270000001","-74.00043749999999","[-74.00043749999999,40.64084270000001]","EMS","B",,,,,,,,,,,"2.000","26","49","22","2","2.676","9","37","30","23"
"J.H.S. 223 The Montauk","K223","6941142","596","11646.2114","General Academic","Intermediate","4200 16 AVENUE","BROOKLYN","NY","11204","K","40.63495810000000","-73.98145230000000","[-73.9814523,40.6349581]","EMS","B",,,,,,,,,,,"2.151","21","45","30","3","2.494","15","34","36","14"
"J.H.S. 226 Virgil I. Grissom","Q226","9960425","1473","6761.9993","General Academic","Intermediate","121-10 ROCKAWAY BOULEVARD","QUEENS","NY","11420","Q","40.67576520000000","-73.81699410000000","[-73.8169941,40.6757652]","EMS","C",,,,,,,,,,,"2.163","19","47","29","3","2.434","15","41","28","15"
"J.H.S. 227 Edward B. Shallow","K227","11310292","1367","8273.8054","General Academic","Intermediate","6500 16 AVENUE","BROOKLYN","NY","11204","K","40.62209400000000","-73.99596199999999","[-73.99596199999999,40.622094]","EMS","B",,,,,,,,,,,"2.111","21","48","28","2","2.767","7","32","37","23"
"J.H.S. 234 Arthur W. Cunningham","K234","11952380","1861","6422.5578","General Academic","Intermediate","1875 EAST 17 STREET","BROOKLYN","NY","11229","K","40.60506520000000","-73.95565189999999","[-73.95565189999999,40.6050652]","EMS","B",,,,,,,,,,,"2.767","5","25","57","12","3.300","3","13","35","49"
"J.H.S. 259 William Mckinley","K259","9695895","1413","6861.9214","General Academic","Intermediate","7305 FT HAMILTON PARKWAY","BROOKLYN","NY","11228","K","40.62658010000000","-74.01525130000000","[-74.0152513,40.6265801]","EMS","A",,,,,,,,,,,"2.424","12","38","44","5","3.070","4","21","39","36"
"J.H.S. 278 Marine Park","K278","8077656","958","8431.7912","General Academic","Intermediate","1925 STUART STREET","BROOKLYN","NY","11229","K","40.60699920000000","-73.93957840000000","[-73.9395784,40.6069992]","EMS","D",,,,,,,,,,,"2.313","9","53","34","3","2.450","10","47","31","12"
"J.H.S. 291 Roland Hayes","K291","7322462","658","11128.3617","General Academic","Intermediate","231 PALMETTO STREET","BROOKLYN","NY","11221","K","40.69548690000000","-73.91502460000000","[-73.9150246,40.6954869]","EMS","C",,,,,,,,,,,"1.867","27","57","14","0","1.969","29","48","18","4"
"J.H.S. 292 Margaret S. Douglas","K292","5457912","668","8170.5269","General Academic","Intermediate","301 VERMONT STREET","BROOKLYN","NY","11207","K","40.67188700000000","-73.89345300000000","[-73.893453,40.671887]","EMS","C",,,,,,,,,,,"2.071","19","54","24","1","2.469","14","42","24","18"
"J.H.S. 302 Rafael Cordero","K302","9029298","1017","8878.3658","General Academic","Intermediate","350 LINWOOD STREET","BROOKLYN","NY","11208","K","40.67703630000000","-73.88340760000000","[-73.8834076,40.6770363]","EMS","D",,,,,,,,,,,"1.949","26","53","19","1","2.132","24","46","19","9"
"J.H.S. 383 Philippa Schuyler","K383","6887709","1129","6100.7166","General Academic","Intermediate","1300 GREENE AVENUE","BROOKLYN","NY","11237","K","40.69789200000000","-73.91907200000000","[-73.919072,40.697892]","EMS","C",,,,,,,,,,,"2.800","3","24","63","10","3.010","3","21","48","28"
"Jacqueline Kennedy Onassis High School","M529","4984986","707","7050.8996","General Academic","High School","120 WEST 46 STREET","MANHATTAN","NY","10036","M","40.75790230000000","-73.98348210000000","[-73.9834821,40.7579023]",,,"174","61","44","72","13","22","31","50","28","8",,,,,,,,,,
"Jamaica High School","Q470","11037042","1474","7487.8168","General Academic","High School","167-01 GOTHIC DRIVE","JAMAICA","NY","11432","Q","40.71454600000000","-73.79866299999999","[-73.79866299999999,40.714546]",,,"462","48","36","74","8","17","28","58","30","18",,,,,,,,,,
"James Baldwin School, The: A School for Expeditionary Learning","M313","1997037","247","8085.1700","Transfer School","High School","351 WEST 18 STREET","MANHATTAN","NY","10011","M","40.74324100000000","-74.00301180000000","[-74.0030118,40.743241]","HST","D","78","39","19","50","0","0","19","50","45","10",,,,,,,,,,
"James Madison High School","K425","18776973","3288","5710.7582","General Academic","High School","3787 BEDFORD AVENUE","BROOKLYN","NY","11229","K","40.60984700000000","-73.94820729999999","[-73.94820729999999,40.609847]",,,"925","66","57","86","25","37","32","49","20","14",,,,,,,,,,
"James Weldon Johnson","M057","6740547","754","8939.7175","General Academic","K-8","176 EAST 115 STREET","MANHATTAN","NY","10029","M","40.79720700000000","-73.94160500000000","[-73.941605,40.797207]","EMS","A",,,,,,,,,,,"2.525","9","38","43","9","2.828","4","29","46","20"
"Jane Addams High School for Academic Careers","X650","11306713","1274","8874.9710","Career Technical","High School","900 TINTON AVENUE","BRONX","NY","10456","X","40.82174300000000","-73.90288199999999","[-73.90288199999999,40.821743]",,,"329","45","32","71","6","14","26","58","27","26",,,,,,,,,,
"Jean Nuzzi Intermediate School","Q109","7440202","1143","6509.3631","General Academic","Intermediate","213-10 92 AVENUE","QUEENS","NY","11428","Q","40.72068560000000","-73.74706320000000","[-73.7470632,40.7206856]","EMS","C",,,,,,,,,,,"2.343","10","49","36","4","2.545","10","42","30","17"
"Jill Chaifetz Transfer High School","X379","1420044","152","9342.3947","Transfer School","High School","778 FOREST AVENUE","BRONX","NY","10456","X","40.81889930000000","-73.90587070000000","[-73.9058707,40.8188993]","HST","B","75","16","1","8","0","0","1","8","67","16",,,,,,,,,,
"John Adams High School","Q480","21741123","3247","6695.7570","General Academic","High School","101-01 ROCKAWAY BOULEVARD","QUEENS","NY","11417","Q","40.67824600000000","-73.83686100000000","[-73.836861,40.678246]",,,"799","47","31","66","4","9","27","57","30","17",,,,,,,,,,
"John Bowne High School","Q425","20754199","3114","6664.8038","General Academic","High School","63-25 MAIN STREET","QUEENS","NY","11367","Q","40.73742400000000","-73.82381300000000","[-73.823813,40.737424]",,,"699","54","36","68","8","15","28","53","24","17",,,,,,,,,,
"John Dewey High School","K540","17412614","2756","6318.0747","General Academic","High School","50 AVENUE X","BROOKLYN","NY","11223","K","40.58924960000000","-73.98183220000000","[-73.9818322,40.5892496]",,,"637","56","48","86","19","34","29","52","30","11",,,,,,,,,,
"John Ericsson Middle School 126","K126","4785520","420","11394.0952","General Academic","Intermediate","424 LEONARD STREET","BROOKLYN","NY","11222","K","40.71976799999999","-73.94841810000000","[-73.9484181,40.71976799999999]","EMS","B",,,,,,,,,,,"1.826","32","52","13","1","1.989","26","50","21","2"
"John F. Kennedy High School","X475","13075584","1291","10128.2603","General Academic","High School","99 TERRACE VIEW AVENUE","BRONX","NY","10463","X","40.87706970000000","-73.91261690000000","[-73.9126169,40.8770697]",,,"716","39","17","43","0","0","17","43","25","18",,,,,,,,,,
"Jonas Bronck Academy","X228","2141853","198","10817.4394","General Academic","Intermediate","400 EAST FORDHAM ROAD","BRONX","NY","10458","X","40.86146310000000","-73.89117430000000","[-73.8911743,40.8614631]","EMS","A",,,,,,,,,,,"2.357","10","47","37","4","2.755","3","33","47","15"
"Jonathan Levin High School for Media and Communications","X414","5428252","445","12198.3191","General Academic","High School","240 EAST 172 STREET","BRONX","NY","10457","X","40.83929500000000","-73.91138400000000","[-73.911384,40.839295]",,,"62","77","48","63","0","0","48","63","8","3",,,,,,,,,,
"Juan Morel Campos Secondary School","K071","9562600","906","10554.7461","General Academic","Secondary School","215 HEYWARD STREET","BROOKLYN","NY","11206","K","40.70355610000000","-73.95325570000000","[-73.9532557,40.7035561]","EMS","B","94","49","36","74","3","7","33","67","37","7","1.818","28","61","10","0","2.181","18","48","30","3"
"Kappa","X215","2992182","435","6878.5793","General Academic","Intermediate","3630 THIRD AVENUE","BRONX","NY","10456","X","40.83410000000000","-73.90407830000000","[-73.9040783,40.8341]","EMS","B",,,,,,,,,,,"2.373","9","47","40","3","2.787","6","32","38","23"
"Kappa III","X316","2055485","257","7997.9961","General Academic","Intermediate","2055 MAPES AVENUE","BRONX","NY","10460","X","40.84571600000000","-73.88631269999999","[-73.88631269999999,40.845716]","EMS","A",,,,,,,,,,,"2.290","11","52","34","3","2.561","11","35","38","14"
"KAPPA IV","M302","2014790","261","7719.5019","General Academic","Intermediate","6 EDGECOMBE AVENUE","MANHATTAN","NY","10030","M","40.81754620000000","-73.94756300000000","[-73.947563,40.8175462]","EMS","B",,,,,,,,,,,"2.272","7","58","34","0","2.530","7","44","38","11"
"Kappa V","K518","2481813","276","8992.0761","General Academic","Intermediate","985 ROCKAWAY AVENUE","BROOKLYN","NY","11212","K","40.65629270000000","-73.90732410000000","[-73.9073241,40.6562927]","EMS","C",,,,,,,,,,,"2.210","10","60","29","1","2.373","8","52","33","6"
"Khalil Gibran International Academy","K592","923636","115","8031.6174","General Academic","Secondary School","362 SCHERMERHORN STREET","BROOKLYN","NY","11217","K","40.68675420000000","-73.98012870000000","[-73.9801287,40.6867542]","EMS","C",,,,,,,,,,,"1.857","29","54","15","0","1.777","33","55","11","0"
"Kingsborough Early College School","K468","2407402","327","7362.0856","General Academic","Secondary School","2630 BENSON AVENUE","BROOKLYN","NY","11214","K","40.59301500000000","-73.98631499999999","[-73.98631499999999,40.593015]","EMS","B",,,,,,,,,,,"2.346","8","49","40","1","2.930","3","29","40","28"
"Kingsbridge International High School","X268","4035177","459","8791.2353","General Academic","High School","2780 RESERVOIR AVENUE","BRONX","NY","10468","X","40.87088010000000","-73.89775290000000","[-73.8977529,40.8708801]",,,"127","58","33","58","11","19","22","38","19","22",,,,,,,,,,
"Knowledge and Power Preparatory Academy International High School (Kappa)","X374","2042264","295","6922.9288","General Academic","High School","500 EAST FORDHAM ROAD","BRONX","NY","10458","X","40.85970190000000","-73.88758890000000","[-73.8875889,40.8597019]",,,"1","0","0","0","0","0","0","0","0","0",,,,,,,,,,
"Knowledge and Power Preparatory Academy VI","Q282","1660111","253","6561.7036","General Academic","Intermediate","8-21 BAY 25 STREET","QUEENS","NY","11691","Q","40.60153200000000","-73.76397899999999","[-73.76397899999999,40.601532]","EMS","C",,,,,,,,,,,"2.414","4","52","41","2","2.420","6","54","32","8"
"Kurt Hahn Expeditionary Learning School","K569","1808308","225","8036.9244","General Academic","High School","5800 TILDEN AVENUE","BROOKLYN","NY","11203","K","40.64773300000000","-73.92220200000000","[-73.922202,40.647733]",,,,,,,,,,,,,,,,,,,,,,
"Landmark High School","M419","3429554","452","7587.5088","General Academic","High School","351 WEST 18 STREET","MANHATTAN","NY","10011","M","40.74324100000000","-74.00301180000000","[-74.0030118,40.743241]",,,"98","61","0","0","0","0","0","0","27","7",,,,,,,,,,
"Law, Government and Community Service High School","Q494","3280902","502","6535.6614","General Academic","High School","207- 01 116TH AVENUE","QUEENS","NY","11411","Q","40.69879000000000","-73.74632600000000","[-73.746326,40.69879]",,,"109","72","64","90","16","22","49","68","12","9",,,,,,,,,,
"Leadership and Public Service High School","M425","4940620","646","7648.0186","General Academic","High School","90 TRINITY PLACE","MANHATTAN","NY","10006","M","40.70885080000000","-74.01236570000000","[-74.0123657,40.7088508]",,,"143","50","18","35","0","0","18","35","25","19",,,,,,,,,,
"Leadership Institute","X276","2451934","296","8283.5608","General Academic","High School","1701 FULTON AVENUE","BRONX","NY","10457","X","40.84210530000000","-73.89746989999999","[-73.89746989999999,40.8421053]",,,"62","68","42","62","5","7","37","55","2","24",,,,,,,,,,
"Learners and Leaders","Q305","1944717","251","7747.8765","General Academic","Early Childhood","378 SENECA AVENUE","QUEENS","NY","11385","Q","40.70725010000000","-73.91523140000000","[-73.9152314,40.7072501]",,,,,,,,,,,,,,,,,,,,,,
"Legacy School for Integrated Studies","M429","3634027","394","9223.4188","General Academic","High School","34 WEST 14 STREET","MANHATTAN","NY","10011","M","40.73665350000000","-73.99554210000000","[-73.9955421,40.7366535]",,,"93","51","19","38","3","6","16","32","32","11",,,,,,,,,,
"Leon M. Goldstein High School for the Sciences","K535","5894392","1049","5619.0582","General Academic","High School","1830 SHORE BOULEVARD","BROOKLYN","NY","11235","K","40.58089570000000","-73.93514119999999","[-73.93514119999999,40.5808957]",,,"213","85","76","89","50","59","25","30","12","2",,,,,,,,,,
"Liberation Diploma Plus","K728","1748705","180","9715.0278","Transfer School","High School","2865 WEST 19TH STREET","BROOKLYN","NY","11224","K","40.57721320000000","-73.98595860000000","[-73.9859586,40.5772132]","HST","A","71","37","18","50","0","0","18","50","56","4",,,,,,,,,,
"Liberty High School Academy for Newcomers","M550","4088495","420","9734.5119","Transfer School","High School","250 WEST 18 STREET","MANHATTAN","NY","10011","M","40.74181700000000","-74.00023100000000","[-74.000231,40.741817]","HST","A","113","55","41","74","15","27","26","47","28","17",,,,,,,,,,
"Life Academy High School for Film and Music","K559","1705089","153","11144.3725","General Academic","High School","2630 BENSON AVENUE","BROOKLYN","NY","11214","K","40.59301500000000","-73.98631499999999","[-73.98631499999999,40.593015]",,,,,,,,,,,,,,,,,,,,,,
"Life Sciences Secondary School","M655","5404850","700","7721.2143","General Academic","Secondary School","320 EAST 96 STREET","MANHATTAN","NY","10128","M","40.78328399999999","-73.94593900000000","[-73.945939,40.78328399999999]","EMS","C","111","85","53","63","2","2","51","61","9","5","2.161","10","64","24","1","2.151","15","57","24","3"
"Long Island City High School","Q450","22861712","3300","6927.7915","General Academic","High School","14-30 BROADWAY","QUEENS","NY","11106","Q","40.76560430000000","-73.93296670000000","[-73.9329667,40.7656043]",,,"849","55","50","91","13","24","36","67","30","12",,,,,,,,,,
"Lower East Side Preparatory High School","M515","5458936","551","9907.3249","Transfer School","High School","145 STANTON STREET","MANHATTAN","NY","10002","M","40.72055460000000","-73.98568360000000","[-73.9856836,40.7205546]","HST","A","154","46","36","80","29","64","7","16","42","13",,,,,,,,,,
"Lower Manhattan Arts Academy","M308","2778045","311","8932.6206","General Academic","High School","350 GRAND STREET","MANHATTAN","NY","10002","M","40.71740050000000","-73.98961390000000","[-73.9896139,40.7174005]",,,"67","78","45","58","3","4","42","54","10","10",,,,,,,,,,
